NO.實驗,原膜,膜厚,,RI,,,,,,,,,,,TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,AD,,,,,,,,,,結果,,,,,,,,,,,,,,
,,,分類,水,甲醇,MEK,Anone,A006,A009,A010,A012,A025,A026,塗佈棒,水,甲醇,乙醇,MEK,PMA,A001,A002,A003,A004,A005,A007,A008,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A028,A029,塗佈棒,TL,EAC,A030,A031,A032,A033,A034,塗佈棒,理論乾量,實際乾量,耐溫（℃）,平均剝離(gf),最小剝離(gf),最大剝離(gf),剝離振幅(gf),切面,破膜,油墨密著,燙印測試,轉印切面,轉印飽滿度,轉印網點,轉印破開,泡料外觀,外觀
672-1,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,1.8,3.6,,,3.4,2.6,,2.5,,,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,1.1,,,,#3,,,90,1.57,1.56,1.6,0.04,5,1.72,4,以INX HT膠測試切面版,3.5,4.5,4.5,4,,
672-2,翔宇,10.5,RI+TOP+AD,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,1.8,3.6,,,,2.6,,2.5,,,,,,,,,,,,,,,3.4,,#3,7.6,7.6,1.8,1.1,,,,#3,,1.50,90,1.43,1.42,1.45,0.03,3,7.85,1,,3.5,4.5,4.5,4,,
672-3,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,1.8,3.6,,2.5,3.4,2.6,,,,,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,1.1,,,,#3,,1.50,90,1.91,1.89,1.92,0.03,4,1.97,5,,4,4.5,4.5,3.5,,
672-4,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,,,2.5,,3.4,2.6,,,,,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,1.1,,,,#3,,1.50,90,1.91,1.89,1.92,0.03,4,1.97,3,以INX HT膠測試切面版,4,4.5,4.5,3.5,,
672-5,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,,,,2.5,,2.6,,,,,,,,,,,,,,,,,3.4,,#3,7.6,7.6,1.8,1.1,,,,#3,,1.50,85,1.68,1.66,1.69,0.03,3,1.75,2,以INX HT膠測試切面版,4,4.5,4.5,3.5,,
697-1,翔宇,10.5,TOP,,,,,,,,,,,,1,2,,0.8,,,,,,2,,,6,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.14,90,1.83,1.82,1.85,0.03,4.5,2.81,5,以INX HT膠測試切面版,3,5,3.5,3.5,雲霧狀明顯白色顆粒析出,
697-2,翔宇,10.5,,,,,,,,,,,,,1,2,,0.8,,,,,,3,,,5,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.06,90,1.92,1.89,1.94,0.05,5,3.36,5,以INX HT膠測試切面版,3.5,4.5,3.5,3,雲霧狀析出,
697-3,翔宇,10.5,,,,,,,,,,,,,1,2,,0.8,,,,,,4,,,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.08,90,2.44,2.42,2.47,0.05,5.5,3.12,5,以INX HT膠測試切面版,3.5,4.5,3,3.5,雲霧狀析出,
697-4,翔宇,10.5,,,,,,,,,,,,,1,2,,0.8,,,,,,2,,,5,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.05,90,1.97,1.95,1.98,0.03,5.5,2.04,5,以INX HT膠測試切面版,3,5,2.5,3,雲霧狀析出,
697-5,翔宇,10.5,,,,,,,,,,,,,1,2,,0.8,,,,,,1,,,5,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.09,90,2.01,1.99,2.02,0.03,5.5,3.46,3,以INX HT膠測試切面版,3,5,2.5,3,雲霧狀析出,
698-1,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.6,3,,,,,,,,,,,,,,3.2,,,,,,,,,#3,9,9,,,,0.8,0.5,#3,,,,1.95,1.94,1.97,0.03,6,1.92,5,以INX HT膠測試切面版,3,3,5,5,,ok
698-2,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.4,3,,,,,,,,,,,,,,,,,,2.2,,,,,#3,,,,,,0.8,0.5,#3,0.70,0.57,,2.52,2.48,2.52,0.04,6,7.31,5,以INX HT膠測試切面版,5,2,5,5,,上AD膠，料面明顯滲透
698-3,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.6,3,,,,,,,,,,,,,,,,3.2,,,,,,,#3,,,,,,0.8,0.5,#3,0.70,0.60,,2.51,2.49,2.52,0.03,6,113.05,5,以INX HT膠測試切面版,5,2,5,5,,ok
698-4,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.6,3,,,,,,,,,,,,,,,,,,,3.2,,,,#3,,,,,,0.8,0.5,#3,0.70,0.57,,2.51,2.49,2.52,0.03,6,113.05,5,以INX HT膠測試切面版,5,2,5,5,,ok
698-5,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.5,2.9,,,,,,,,,,,,,,,1.7,,,,,,,,#3,,,,,,0.8,0.5,#3,0.70,0.64,,2.58,2.56,2.59,0.03,6,2.56,5,以INX HT膠測試切面版,5,2,5,5,,上AD膠，料面輕微滲透
709-1,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,2,,,6,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.66,90,1.73,1.7,1.74,0.04,5.5,1.8,5,以INX HT膠測試切面版,3,4,5,3,T1~T5皆有棉絮狀析出,
709-2,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,,,2,6,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.68,90,1.52,1.51,1.54,0.03,5,1.87,5,以INX HT膠測試切面版,2.5,5,5,4,T1~T5皆有棉絮狀析出,
709-3,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,1,,2,5,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.63,90,1.8,1.78,1.82,0.04,5,2.26,5,以INX HT膠測試切面版,1,5,4,4,T1~T5皆有棉絮狀析出,
709-4,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,1,,3,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.64,90,2.19,2.17,2.22,0.05,5.5,4.33,5,以INX HT膠測試切面版,4,3.5,5,3.5,T1~T5皆有棉絮狀析出,塗TOP層後，T4、T5料面呈油霧狀。
709-5,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,2,,2,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.66,90,2.01,1.98,2.04,0.06,6,4.44,5,以INX HT膠測試切面版,3.5,3.5,5,3.5,T1~T5皆有棉絮狀析出,塗TOP層後，T4、T5料面呈油霧狀。
710-1,海洋(霧),12,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,5.3,10.5,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,,,,4.86,4.65,5.17,0.52,6,7.75,,以INX HT膠測試切面版,1,3,3,1,,
710-2,海洋(霧),12,,,7.2,1.8,3.6,,0.8,0.3,,,,#4,,,,5.3,10.5,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,,,,3.87,3.83,3.9,0.07,6,3.99,,以INX HT膠測試切面版,1.5,2,2,1,,
710-3,海洋(霧),12,,,6,1.5,3,,0.8,0.3,,,,#4,,,,5.3,10.5,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,,,,3.8,3.76,3.8,0.04,6,5.55,,以INX HT膠測試切面版,1,2,1.5,1,,
710-4,海洋(霧),12,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,4.2,8.2,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,1.50,1.52,,4.37,4.22,4.57,0.35,6,6.27,,以INX HT膠測試切面版,1,1,1.5,1,,
710-5,海洋(霧),12,,,7.2,1.8,3.6,,0.8,0.3,,,,#4,,,,4.2,8.2,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,1.60,1.73,,3.61,3.57,3.62,0.05,6,3.94,,以INX HT膠測試切面版,1,2,3.5,1,,
711-1,康輝,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,,,2,6,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.68,90,1.38,1.38,1.41,0.03,5,3.85,5,以INX HT膠測試切面版,3.5,4,5,5,,
711-2,康輝,6,,,,,,,,,,,,,3.3,,5.5,,,,,,,,,2,6,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.67,90,1.65,1.62,1.69,0.07,5.5,3.83,5,以INX HT膠測試切面版,3.5,5,5,5,,
711-3,康輝,6,,,,,,,,,,,,,3.3,,5.5,,,,,,,,,4,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.65,90,1.86,1.83,1.89,0.06,5.5,2.76,5,以INX HT膠測試切面版,4,5,5,5,,
711-4,康輝,6,,,,,,,,,,,,,3.3,,5.5,,,,,,,2,,4,2,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.61,90,1.85,1.84,1.87,0.03,6,1.92,5,以INX HT膠測試切面版,5,3.5,5,5,,
711-5,康輝,6,,,,,,,,,,,,,3.3,,5.5,,,,,,,2,,6,,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.66,90,2.05,2.02,2.06,0.04,5.5,2.22,5,以INX HT膠測試切面版,4,3.5,5,5,,
712-1,翔宇,10.5,,,,,,,,,,,,,1.5,1.5,,0.8,,,,,,2,,6,,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.00,1.03,90,1.31,1.29,1.32,0.03,5,1.55,4.5,以INX HT膠測試切面版,1,5,4,3.5,,
712-2,翔宇,10.5,,,,,,,,,,,,,1.5,1.5,,0.8,,,,,,,,2,6,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.00,1.11,90,2.07,2,2.19,0.19,5.5,2.77,3,以INX HT膠測試切面版,1,5,4,4,T2~T5泡料皆有析出,
712-3,翔宇,10.5,,,,,,,,,,,,,1.5,1.5,,0.8,,,,,,1,,2,5,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.00,1.03,90,2.29,2.22,2.38,0.16,5.5,3.24,4.5,以INX HT膠測試切面版,1,5,4,3.5,T2~T5泡料皆有析出,
712-4,翔宇,10.5,,,,,,,,,,,,,1.5,1.5,,0.8,,,,,,1,,3,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.00,0.96,90,2.3,2.21,2.39,0.18,6,2.81,5,以INX HT膠測試切面版,2,4.5,4,3.5,T2~T5泡料皆有析出,
712-5,翔宇,10.5,,,,,,,,,,,,,1.5,1.5,,0.8,,,,,,2,,2,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.00,0.98,90,2.62,2.51,2.81,0.3,5.5,4.4,5,以INX HT膠測試切面版,1.5,4.5,4,3,T2~T5泡料皆有析出,
715-1,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,0.05,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,,,,1.78,1.76,1.79,0.03,6,1.81,,以INX HT膠測試切面版,3.5,4,4,3.5,,
715-2,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,0.01,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.81,1.8,1.82,0.02,6,2.98,,以INX HT膠測試切面版,3.5,4.5,4,4,,
715-3,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,0.15,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.88,1.86,1.89,0.03,6,2.91,,以INX HT膠測試切面版,4,3.5,4,3,,
715-4,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,0.2,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.78,1.77,1.79,0.02,6,1.76,,以INX HT膠測試切面版,4,3,4,3,,
715-5,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,0.25,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.86,1.85,1.87,0.02,6,1.86,,以INX HT膠測試切面版,4,2,4,2.5,,
715-6,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,0.1,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,2.04,2.03,2.05,0.02,6,2.17,,以INX HT膠測試切面版,3.5,4,4,3.5,,
716-1,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,,0.05,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,,,,1.95,1.93,1.96,0.03,6,2.41,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
716-2,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,,0.01,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.81,1.81,1.83,0.02,6,1.86,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
716-3,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,,0.15,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.83,1.81,1.84,0.03,6,1.9,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
716-4,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,,0.2,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.75,1.73,1.76,0.03,6,1.89,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
716-5,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,,0.25,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.76,1.74,1.77,0.03,6,1.9,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
716-6,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,,,0.1,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.73,1.71,1.73,0.02,6,1.78,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
717-1,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,0.05,,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,,,,1.71,1.7,1.82,0.12,6,2.69,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
717-2,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,0.01,,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.77,1.76,1.78,0.02,6,1.95,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
717-3,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,0.15,,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.87,1.81,1.89,0.08,6,1.9,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
717-4,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,0.2,,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.88,1.87,1.89,0.02,6,2.02,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
717-5,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,0.25,,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.71,1.69,1.72,0.03,6,1.85,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
717-6,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,2,4,,,3.4,2.6,,2.5,,,,,0.1,,,,,,,,,,,,#3,7.6,7.6,,,,1.8,1.1,#3,1.40,,,1.84,1.81,1.85,0.04,6,1.94,,以INX HT膠測試切面版,3.5,4.5,4,3.5,,
721-1,海洋(霧),12,,,7.2,1.8,3.6,,,,,0.8,0.3,#3,,,,4.2,8.2,,,,,,,,,0.03,0.11,,0.18,,,2.6,2.5,3.4,,,,,,#4,7.6,7.6,,,,1.8,1.1,#3,1.60,,,3.29,3.27,3.3,0.03,6,4.49,,以INX HT膠測試切面版,0,0,0,0,,
721-2,海洋(霧),12,,,7.2,1.8,3.6,,,,,0.8,0.3,#3,,,,4.2,8.2,,,,,,,,,0.03,0.11,,,0.18,,2.6,2.5,3.4,,,,,,#4,7.6,7.6,,,,1.8,1.1,#3,1.60,,,2.86,2.85,2.88,0.03,6,3.87,,以INX HT膠測試切面版,1,4,4,1.5,,
721-3,海洋(霧),12,,,7.2,1.8,3.6,,,,,0.8,0.3,#3,,,,2.8,5.6,,,,,,,,,0.022,0.079,,0.13,,,0.6,2.5,3.4,,,,,,#4,7.6,7.6,,,,1.8,1.1,#3,1.60,,,2.86,2.86,2.88,0.02,6,4.54,,以INX HT膠測試切面版,0,0,0,0,,
721-4,海洋(霧),12,,,7.2,1.8,3.6,,,,,0.8,0.3,#3,,,,2.8,5.6,,,,,,,,,0.022,0.079,,,0.13,,0.6,2.5,3.4,,,,,,#4,7.6,7.6,,,,1.8,1.1,#3,1.60,,,2.86,2.85,2.87,0.02,6,3.5,,以INX HT膠測試切面版,1,4,4.5,1.5,,
726-1,翔宇,6,,,,,,,,,,,,,3,,5,,,,,,,4,,,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,,85,1.73,1.72,1.74,0.02,6,2.35,5,以INX HT膠測試切面版,3.5,4,5,4.5,,
726-2,翔宇,6,,,,,,,,,,,,,3,,5,,,,,,,4,,,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.71,85,2.07,2.06,2.08,0.02,6,3.91,5,以INX HT膠測試切面版,3.5,4,5,4.5,,
726-3,翔宇,6,,,,,,,,,,,,,4.5,,7.5,,,,,,,4,,,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.74,85,1.94,1.92,1.95,0.03,6,18.57,5,以INX HT膠測試切面版,4.5,3,5,4.5,,
726-4,翔宇,6,,,,,,,,,,,,,4.5,,7.5,,,,,,,4,,,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.55,85,1.93,1.92,1.95,0.03,6,6.99,5,以INX HT膠測試切面版,4,3,5,4,,
726-5,翔宇,6,,,,,,,,,,,,,4.5,,7.5,,,,,,,3,,,3,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.53,85,1.9,1.88,1.92,0.04,6,174.29,5,以INX HT膠測試切面版,5,2.5,5,4.5,,
726-6,翔宇,6,,,,,,,,,,,,,4.5,,7.5,,,,,,,3,,,3,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.41,85,2.28,2.27,2.3,0.03,6,38.5,5,以INX HT膠測試切面版,5,2.5,5,4.5,,
727-1,翔宇,6,,,,,,,,,,,,,3.7,,6,,,,,,,4,,,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.60,,90,2.09,2.06,2.11,0.05,6,3.3,5,以INX HT膠測試切面版,4,3.5,5,4.5,,
727-2,翔宇,6,,,,,,,,,,,,,3.9,,6.3,,,,,,,4,,,,,,,,,,,,,,,3.4,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.60,0.65,90,2.64,2.63,2.66,0.03,6,105.08,5,以INX HT膠測試切面版,4,3.5,5,4.5,,
727-3,翔宇,6,,,,,,,,,,,,,3.8,,6.2,,,,,,,4,,,2,,,,,,,,,,,,1.7,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.60,0.67,90,2.56,2.58,2.63,0.05,6,26.88,5,以INX HT膠測試切面版,4,3.5,5,4.5,,
727-4,翔宇,6,,,,,,,,,,,,,4.5,,7.5,,,,,,,6,,,,,,,,,,,,,,,1.7,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.60,0.62,90,2.37,2.36,2.39,0.03,6,33.28,5,以INX HT膠測試切面版,3.5,3.5,5,4.5,,
727-5,翔宇,6,,,,,,,,,,,,,4.5,,7.5,,,,,,,2,,,4,,,,,,,,,,,,1.7,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.60,0.64,90,2.38,2.36,2.39,0.03,6,2.34,5,以INX HT膠測試切面版,4,4,5,4.5,,
727-6,翔宇,6,,,,,,,,,,,,,4.5,,7.5,,,,,,,3.2,,,1.6,,,,,,,,,,,,2.7,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.60,0.62,90,2.77,2.76,2.81,0.05,6,4.08,5,以INX HT膠測試切面版,4,3.5,5,4.5,,